,State_Name,District_Name,Crop
184428,Tamil Nadu,RAMANATHAPURAM,Maize
71712,Himachal Pradesh,CHAMBA,Dry ginger
184931,Tamil Nadu,SALEM,Soyabean
70551,Haryana,SIRSA,Sugarcane
221239,Uttar Pradesh,MAINPURI,Moth
31017,Bihar,DARBHANGA,Sesamum
97561,Karnataka,UTTAR KANNAD,Sesamum
182221,Tamil Nadu,MADURAI,Niger seed
181858,Tamil Nadu,KRISHNAGIRI,Cardamom
97816,Karnataka,YADGIR,Coriander
2043,Andhra Pradesh,EAST GODAVARI,other oilseeds
242348,West Bengal,JALPAIGURI,Linseed
182948,Tamil Nadu,NAMAKKAL,Arecanut
182566,Tamil Nadu,NAGAPATTINAM,Arecanut
220483,Uttar Pradesh,MAHARAJGANJ,Sesamum
195723,Telangana ,RANGAREDDI,Cashewnut
196335,Telangana ,WARANGAL,Other  Rabi pulses
87946,Karnataka,GADAG,Cowpea(Lobia)
195495,Telangana ,NIZAMABAD,Cowpea(Lobia)
194808,Telangana ,NALGONDA,Moong(Green Gram)
75184,Jammu and Kashmir ,RAJAURI,Moong(Green Gram)
218110,Uttar Pradesh,KAUSHAMBI,Linseed
199940,Uttar Pradesh,AMBEDKAR NAGAR,Linseed
630,Andhra Pradesh,ANANTAPUR,Horse-gram
85897,Karnataka,DAVANGERE,Cardamom
198779,Uttar Pradesh,ALIGARH,Soyabean
217694,Uttar Pradesh,KASGANJ,Cotton(lint)
198427,Uttar Pradesh,AGRA,Sannhamp
86755,Karnataka,DHARWAD,Rapeseed &Mustard
244581,West Bengal,MURSHIDABAD,Moong(Green Gram)
191457,Telangana ,ADILABAD,Small millets
191986,Telangana ,KARIMNAGAR,Banana
26120,Assam,TINSUKIA,Cotton(lint)
244128,West Bengal,MEDINIPUR WEST,Peas & beans (Pulses)
90055,Karnataka,HAVERI,Other Kharif pulses
192687,Telangana ,KHAMMAM,other oilseeds
194228,Telangana ,MEDAK,Urad
193474,Telangana ,MAHBUBNAGAR,Sesamum
74684,Jammu and Kashmir ,KATHUA,other oilseeds
209589,Uttar Pradesh,FARRUKHABAD,Linseed
211010,Uttar Pradesh,FIROZABAD,Linseed
215442,Uttar Pradesh,JAUNPUR,Linseed
209263,Uttar Pradesh,FAIZABAD,Sesamum
200310,Uttar Pradesh,AMROHA,Cotton(lint)
245644,West Bengal,PURULIA,Rapeseed &Mustard
209017,Uttar Pradesh,ETAWAH,Sannhamp
78373,Karnataka,BANGALORE RURAL,Cowpea(Lobia)
208482,Uttar Pradesh,ETAH,Sannhamp
208121,Uttar Pradesh,DEORIA,Moong(Green Gram)
211201,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Sesamum
213525,Uttar Pradesh,HAMIRPUR,Small millets
16241,Assam,DHUBRI,Cotton(lint)
213056,Uttar Pradesh,GORAKHPUR,Linseed
212531,Uttar Pradesh,GONDA,Sannhamp
80761,Karnataka,BENGALURU URBAN,Linseed
215196,Uttar Pradesh,JALAUN,Coriander
79148,Karnataka,BELGAUM,Rapeseed &Mustard
211681,Uttar Pradesh,GHAZIABAD,Cotton(lint)
204613,Uttar Pradesh,BAREILLY,Sannhamp
204180,Uttar Pradesh,BARABANKI,Moong(Green Gram)
20557,Assam,KAMRUP METRO,Tobacco
202996,Uttar Pradesh,BALLIA,Sesamum
77483,Karnataka,BAGALKOT,Small millets
216821,Uttar Pradesh,KANPUR DEHAT,Cotton(lint)
202415,Uttar Pradesh,BAHRAICH,Sannhamp
201998,Uttar Pradesh,BAGHPAT,Gram
201443,Uttar Pradesh,AZAMGARH,Moong(Green Gram)
200978,Uttar Pradesh,AURAIYA,Sannhamp
19096,Assam,HAILAKANDI,Tobacco
216356,Uttar Pradesh,KANNAUJ,Cotton(lint)
206970,Uttar Pradesh,CHANDAULI,Small millets
216096,Uttar Pradesh,JHANSI,Sannhamp
82821,Karnataka,CHAMARAJANAGAR,Cardamom
206030,Uttar Pradesh,BUDAUN,Cotton(lint)
19614,Assam,JORHAT,Gram
205558,Uttar Pradesh,BIJNOR,Small millets
205164,Uttar Pradesh,BASTI,Moong(Green Gram)
187400,Tamil Nadu,THIRUVARUR,Castor seed
187698,Tamil Nadu,TIRUCHIRAPPALLI,Arecanut
219970,Uttar Pradesh,LUCKNOW,Sannhamp
72370,Himachal Pradesh,KANGRA,Dry chillies
72437,Himachal Pradesh,KINNAUR,Sesamum
187078,Tamil Nadu,THIRUVALLUR,Soyabean
93044,Karnataka,MANDYA,Rapeseed &Mustard
72988,Himachal Pradesh,MANDI,Moth
93948,Karnataka,MYSORE,Cardamom
190984,Tamil Nadu,VIRUDHUNAGAR,Maize
185601,Tamil Nadu,SIVAGANGA,Coriander
185713,Tamil Nadu,THANJAVUR,Arecanut
186619,Tamil Nadu,THENI,Maize
186302,Tamil Nadu,THE NILGIRIS,Wheat
94272,Karnataka,RAICHUR,Urad
188214,Tamil Nadu,TIRUNELVELI,Arecanut
189679,Tamil Nadu,TUTICORIN,Maize
73878,Himachal Pradesh,UNA,Linseed
189986,Tamil Nadu,VELLORE,Gram
73749,Himachal Pradesh,SOLAN,Sesamum
190605,Tamil Nadu,VILLUPURAM,Cardamom
219199,Uttar Pradesh,KUSHI NAGAR,Moong(Green Gram)
189221,Tamil Nadu,TIRUVANNAMALAI,Cashewnut
188606,Tamil Nadu,TIRUPPUR,Horse-gram
73256,Himachal Pradesh,SHIMLA,Arhar/Tur
69844,Haryana,PANIPAT,Maize
180735,Tamil Nadu,KANCHIPURAM,Maize
69335,Haryana,PANCHKULA,Moong(Green Gram)
99509,Kerala,KASARAGOD,Sesamum
98857,Kerala,IDUKKI,Pump Kin
180506,Tamil Nadu,ERODE,Cardamom
98539,Kerala,ERNAKULAM,Pump Kin
69976,Haryana,REWARI,Moth
181020,Tamil Nadu,KANNIYAKUMARI,Arecanut
241586,West Bengal,HOOGHLY,Arhar/Tur
99175,Kerala,KANNUR,Blackgram
179584,Tamil Nadu,DINDIGUL,Arecanut
32109,Bihar,GOPALGANJ,Moong(Green Gram)
31799,Bihar,GAYA,Bajra
181475,Tamil Nadu,KARUR,Coriander
98225,Kerala,ALAPPUZHA,Jack Fruit
40377,Bihar,PURNIA,Rice
21402,Assam,KARBI ANGLONG,Papaya
161587,Punjab,BATHINDA,Wheat
181,Andaman and Nicobar Islands,SOUTH ANDAMANS,Sugarcane
83881,Karnataka,CHIKMAGALUR,Other Kharif pulses
28407,Bihar,BANKA,Rapeseed &Mustard
75947,Jharkhand,GARHWA,Onion
81067,Karnataka,BIDAR,Mesta
10210,Arunachal Pradesh,DIBANG VALLEY,Oilseeds total
15550,Assam,DHEMAJI,Rice
10970,Arunachal Pradesh,LOWER DIBANG VALLEY,Maize
