,State_Name,District_Name,Crop
133279,Maharashtra,OSMANABAD,Sunflower
147658,Odisha,BALANGIR,Moong(Green Gram)
143101,Nagaland,DIMAPUR,Arhar/Tur
177607,Sikkim,WEST DISTRICT,Small millets
177251,Sikkim,NORTH DISTRICT,Wheat
119960,Madhya Pradesh,SEHORE,Garlic
143595,Nagaland,KOHIMA,Other  Rabi pulses
74195,Jammu and Kashmir ,BARAMULLA,Wheat
9912,Arunachal Pradesh,ANJAW,Dry ginger
76081,Jharkhand,GODDA,Gram
138727,Manipur,TAMENGLONG,Sugarcane
33944,Bihar,KATIHAR,Sunflower
11453,Arunachal Pradesh,TAWANG,Turmeric
243345,West Bengal,MEDINIPUR EAST,Urad
76856,Jharkhand,WEST SINGHBHUM,Wheat
11184,Arunachal Pradesh,LOWER SUBANSIRI,Oilseeds total
36901,Bihar,MUNGER,Maize
27814,Bihar,ARWAL,Gram
37619,Bihar,MUZAFFARPUR,Potato
76598,Jharkhand,RANCHI,Gram
54,Andaman and Nicobar Islands,NICOBARS,Banana
20301,Assam,KAMRUP,Dry chillies
17114,Assam,DIMA HASAO,Maize
76418,Jharkhand,LOHARDAGA,Ragi
140541,Meghalaya,RI BHOI,Sweet potato
74410,Jammu and Kashmir ,JAMMU,Rice
214658,Uttar Pradesh,HATHRAS,Potato
161975,Punjab,FAZILKA,Wheat
221797,Uttar Pradesh,MATHURA,Cotton(lint)
145328,Nagaland,PHEK,Other Kharif pulses
177340,Sikkim,SOUTH DISTRICT,Rapeseed &Mustard
146252,Nagaland,WOKHA,Jute
145133,Nagaland,PEREN,Rice
74938,Jammu and Kashmir ,LEH LADAKH,Rapeseed &Mustard
142656,Mizoram,LUNGLEI,Tobacco
12333,Arunachal Pradesh,WEST SIANG,Wheat
197965,Tripura,UNAKOTI,Cotton(lint)
75401,Jammu and Kashmir ,SRINAGAR,Urad
76340,Jharkhand,LATEHAR,Gram
76667,Jharkhand,SAHEBGANJ,Gram
10585,Arunachal Pradesh,EAST SIANG,Sugarcane
56900,Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,Arhar/Tur
138011,Manipur,CHANDEL,Banana
76172,Jharkhand,HAZARIBAGH,Sugarcane
141072,Meghalaya,SOUTH WEST KHASI HILLS,Sweet potato
57503,Gujarat,AHMADABAD,Jowar
120,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Maize
10656,Arunachal Pradesh,KURUNG KUMEY,Dry chillies
56974,Goa,NORTH GOA,Black pepper
142107,Mizoram,AIZAWL,Rice
213729,Uttar Pradesh,HAPUR,Potato
75603,Jharkhand,BOKARO,Wheat
76146,Jharkhand,GUMLA,Potato
142785,Mizoram,MAMIT,Rice
228218,Uttar Pradesh,SHAMLI,Maize
141041,Meghalaya,SOUTH WEST GARO HILLS,Potato
197164,Tripura,GOMATI,Other Kharif pulses
74001,Jammu and Kashmir ,ANANTNAG,Rice
143460,Nagaland,KIPHIRE,Sweet potato
74590,Jammu and Kashmir ,KARGIL,Other  Rabi pulses
75278,Jammu and Kashmir ,REASI,Urad
162886,Punjab,LUDHIANA,Rice
74107,Jammu and Kashmir ,BADGAM,Maize
76803,Jharkhand,SIMDEGA,Onion
226747,Uttar Pradesh,SAMBHAL,Rice
75975,Jharkhand,GIRIDIH,Ragi
76561,Jharkhand,PALAMU,Masoor
75772,Jharkhand,DHANBAD,Potato
75650,Jharkhand,CHATRA,Maize
162599,Punjab,JALANDHAR,Sugarcane
76590,Jharkhand,RAMGARH,Onion
102266,Madhya Pradesh,AGAR MALWA,Wheat
76277,Jharkhand,KHUNTI,Onion
75290,Jammu and Kashmir ,SAMBA,Sesamum
11628,Arunachal Pradesh,TIRAP,Pulses total
162388,Punjab,HOSHIARPUR,Sugarcane
161517,Punjab,BARNALA,Sugarcane
164311,Punjab,SANGRUR,Barley
74796,Jammu and Kashmir ,KISHTWAR,Barley
140223,Meghalaya,NORTH GARO HILLS,Castor seed
76249,Jharkhand,JAMTARA,Rice
141605,Meghalaya,WEST JAINTIA HILLS,Turmeric
74390,Jammu and Kashmir ,GANDERBAL,Rice
10912,Arunachal Pradesh,LONGDING,Potato
160657,Puducherry,MAHE,Arecanut
197607,Tripura,SEPAHIJALA,Peas & beans (Pulses)
74862,Jammu and Kashmir ,KUPWARA,Potato
11219,Arunachal Pradesh,NAMSAI,Potato
163690,Punjab,PATHANKOT,Rice
74803,Jammu and Kashmir ,KULGAM,Maize
74157,Jammu and Kashmir ,BANDIPORA,Other Kharif pulses
75231,Jammu and Kashmir ,RAMBAN,Barley
161855,Punjab,FATEHGARH SAHIB,Arhar/Tur
191870,Telangana ,HYDERABAD,Rice
75320,Jammu and Kashmir ,SHOPIAN,Potato
131395,Maharashtra,MUMBAI,Maize
